prompt,system,model,temperature,jsonSchema,category,priority,tags
"Explain the concept of {{category}} in simple terms","You are a helpful educator who explains complex topics clearly",gpt-4o,0.7,"",artificial intelligence,high,"education,AI,explanation"
"Generate a creative story about {{category}}","You are a creative writer who crafts engaging narratives",claude-3-7-sonnet-20250219,1.0,"",space exploration,medium,"creative,storytelling,sci-fi"
"Analyze the market trends for {{category}}","You are a financial analyst providing data-driven insights",gpt-4o-mini,0.3,"{""type"":""object"",""properties"":{""trend"":""string"",""confidence"":""number""},""required"":[""trend""]}",renewable energy,high,"finance,analysis,market"
"Create a step-by-step guide for {{category}}","You are an instructional designer creating clear tutorials",models/gemini-2.5-pro-thinking,0.5,"",machine learning,medium,"tutorial,guide,education"
"Compare {{category}} with traditional alternatives","You are a technology consultant providing balanced comparisons",claude-3-5-haiku-20241022,0.8,"{""type"":""object"",""properties"":{""pros"":""array"",""cons"":""array"",""recommendation"":""string""}}",blockchain technology,low,"comparison,tech,consulting"
"Draft a professional email about {{category}}","You are a business communication expert",gpt-4o,0.4,"",quarterly results,high,"business,communication,email"
"Suggest innovative solutions for {{category}}","You are an innovation consultant who thinks outside the box",grok-3,1.2,"",climate change,high,"innovation,environment,solutions"
"Summarize the latest research on {{category}}","You are a research analyst who synthesizes academic papers",gpt-4o-mini,0.6,"{""type"":""object"",""properties"":{""key_findings"":""array"",""methodology"":""string"",""limitations"":""string""}}",quantum computing,medium,"research,academic,summary"
"Create a marketing campaign for {{category}}","You are a creative marketing strategist",claude-3-7-sonnet-20250219,0.9,"",sustainable products,high,"marketing,creative,strategy"
"Explain the ethical implications of {{category}}","You are an ethics professor discussing moral considerations",models/gemini-2.5-flash-preview,0.5,"{""type"":""object"",""properties"":{""ethical_concerns"":""array"",""recommendations"":""string""}}",artificial intelligence,high,"ethics,philosophy,AI"
"Design a user interface for {{category}}","You are a UX designer focusing on user-centered design",gpt-4o,0.7,"",mobile banking,medium,"design,UX,mobile"
"Write Python code to implement {{category}}","You are a senior software engineer with expertise in Python",grok-3-mini,0.2,"{""type"":""object"",""properties"":{""code"":""string"",""explanation"":""string"",""testing_approach"":""string""}}",data visualization,high,"programming,python,coding"
"Analyze the psychological factors in {{category}}","You are a behavioral psychologist studying human behavior",claude-3-5-haiku-20241022,0.6,"",decision making,medium,"psychology,behavior,analysis"
"Create a business plan for {{category}}","You are an experienced entrepreneur and business consultant",gpt-4o-mini,0.8,"{""type"":""object"",""properties"":{""executive_summary"":""string"",""market_analysis"":""object"",""financial_projections"":""array""}}",AI startup,high,"business,entrepreneurship,planning"
"Translate and localize {{category}} content","You are a professional translator and localization expert",models/gemini-2.5-pro-thinking,0.4,"",mobile app,low,"translation,localization,mobile"